Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Kashmir Series No-LI-The Swachhanda Tantram,With Commentary by - Kshemaraja & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,NA,"Sir Maharaja Harisinghji Bahadur, J&K State.",1933,ADV- MKS,,1149,,
Kashmir Series No-LIV-The Sivadristi Of Srisomanandanatha ,With the Vritti by- Utpala Deva & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,173,"Sri Maharaja Harisinghji Bahadur, J&K State.",1934,ADV- MKS,,1150,,
Kashmir Series No-LIX-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,182,"Sri Maharaja Harisinghji Bahadur, J&K State.",1938,ADV- MKS,,1151,,
Kashmir Series No-LVII-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,191,"Sri Maharaja Harisinghji Bahadur, J&K State.",1936,ADV- MKS,,1152,,
Kashmir Series No-LVIII- The Tantraloka Of Abhinava Gupta,With Commentary by- Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,181,"Sri Maharaja Harisinghji Bahadur, J&K State.",1938,ADV- MKS,,1153,,
Kashmir Series No-LVL- Swacchanda Tantram,With Commentary by- Kshemraja,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,170,"Sri Maharaja Hari Singhji Bahadur, J&K State",1935,ADV- MKS,,1154,,
Kashmir Series No-LX The Isvarapratyabhina Vivritivimarsini of,Abhinava Gupta,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,190,"Sri Maharaja Hari Singhji Bahadur, J&K State",1938,ADV- MKS,,1155,,
Kashmir Series No-LXI-The Netra Tantram,With Commentary by-Kshemaraja & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,194,"Sir Harisinghji Bahadur, J& K State",1939,ADV- MKS,,1156,,
Kashmir Series No-LXII-The ISwaraPratyabhijna Vivritivimarsini by Abhinav Gupta,Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,146,"Sri Maharaja Harisinghji Bahadur, J&K State.",1941,ADV- MKS,,1157,,
Kashmir Series No-LXV-The IswaraPratyabhijna Vivritivimarsani,By Abhinava Gupta & Edited by ,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,171,"Sri Maharaja Harsinghji Bahadur, J&K State.",1943,ADV- MKS,,1158,,
Kashmir Series No-XIII-The Shath Trimshat Tattva Sandoha ,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Mukunda Rama Sastri,Advaita,,Sanskrit & English,3,148,"Sir Pratap Singh Sahib Bahadur, J&K State.",1918,ADV- MKS,,1159,,
Kashmir Series No-XLI-Tantraloka of Abhinav Gupta,With Commentary by- Rajanaka Jayaratha,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,167,"Sir Pratap Singh Sahib Bahadur, J&K State.",1924,ADV- MKS,,1160,,
Kashmir Series No-XLI-The Swachhanda Tantram,With Commentary by Kshemaraja,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,1,"Sri Maharaja Hari Singhji Bahadu, J&K State",1933,ADV- MKS,,1161,,
Kashmir Series No-XLIV-The Swachhanda Trantram ,With Commentary by Kshemaraja,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,107,"Sir Harisinghji Bahadur, J& K State",1926,ADV- MKS,,1162,,
Kashmir Series No-XLV-The Nareshyarapariksha Of Sadyojyotih,With Commentary by-Ramakantha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,187,"Sir Harishinghji Bahadur, J&K State.",1926,ADV- MKS,,1163,,
Kashmir Series No-XLVI- The Netra Tantram,With Commentary by- Kshemraja & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,193,"Sir Harisinghji Bahadur, J& K State",1926,ADV- MKS,,1164,,
Kashmir Series No-XLVII-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,94,"Sir Harisinghji Bahadur, J& K State",1926,ADV- MKS,,1165,,
Kashmir Series No-XVII- The Tantrasara Of Abhinava Gupta,Edited by,Pt. Mukunda Rama Sastri,Advaita,,Sanskrit & English,3,186,"Sir Pratap Singh Sahib Bahadur, J&K State.",1916,ADV- MKS,,1166,,
Kashmir Series No-XVIII-The Para-Trimshika,With CommentaryThe Latter by Abhinava Gupta & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,184,"Sir Pratap Singh Sahib Bahadur, J&K State.",1918,ADV- MKS,,1167,,
Kashmir Series No-XXI-The Mahanaya-Prakasha Of -Rajanaka Shiti Katha,Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,179,"Sir Pratap Singh Sahib Bahadur, J&K State.",1916,ADV- MKS,,1168,,
Kashmir Series No-XXII - Ishvara -Pratyabhijna Vimarshini,"Vol.-1, Utpaladeva ",Mama Mahopadyaya Pt. Mukund Ram Sastri,Advaita,,Sanskrit & English,3,183,"Sir Pratap Singh Sahib Bahadur, J&K State.",1918,ADV- MKS,,1169,,
Kashmir Series No-XXIII-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Mukunda Rama Sastri,Advaita,,Sanskrit & English,3,188,"Sir Pratap Singh Sahib Bahadur, J&K State.",1918,ADV- MKS,,1170,,
Kashmir Series No-XXIX-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,71,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1171,,
Kashmir Series No-XXVIII-The Tantraloka of Abhinav Gupta,With Commentary by- Rajanaka Jayaratha,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,158,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1172,,
Kashmir Series No-XXX-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,52,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1173,,
Kashmir Series No-XXXI-Sri MaliniVijayaVarttikam of Abhinav Gupta,"Edited by Abhinava Gupta, Edited by",Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,189,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1174,,
Kashmir Series No-XXXIII- The IswaraPratyabhijna of Utpaladeva,With the Vimarsini by- Abhinava Gupta,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,166,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1175,,
Kashmir Series No-XXXIV- The Siddhitrayi &The Pratyabhijna-Karika-Vriti Of,Of Rajanaka Utpala Deva & Edited by ,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,61,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1176,,
Kashmir Series No-XXXV-The Tantraloka Of Abhinava Gupta,With Commentary by-Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,145,"Sir Pratap Singh Sahin Bahadur, J&K State.",1922,ADV- MKS,,1177,,
Kashmir Series No-XXXVI-The Tantraloka Of Abhinava Gupta,With Commentary by -Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,149,"Sir Pratap Singh Bahadur, Maharaja of Kashmir State.",1922,ADV- MKS,,1178,,
Kashmir Series No-XXXVII- Sri MaliniVijayottara Tantram,By ,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,192,"Sir Pratap Singh Sahib Bahadur, J&K State.",1922,ADV- MKS,,1179,,
Kashmir Series No-XXXVIII-The Swachhanda Tantram,With Commentary by - Kshemaraja,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,168,"Sir Pratap Singh Sahib Bahadur, J&K State.",1923,ADV- MKS,,1180,,
Kashmir Series of Texts & Studies ,"Edited by Abhinava Gupta, Edited by",J.C.Chatterji,Advaita,,Sanskrit & English,3,185,"The Archeological & Research Depatt., Kashmir State.",1911,ADV- MKS,,1181,,
Kashmir Series Of Texts & Studies ,Edited by,Jagadish Chandra Chatterji,Advaita,,Sanskrit & English,3,157,"Sir Pratap Singh Bahadur, The Research Departt, Of The Kashmir State.",1916,ADV- JCC,,1182,,
Kashmir Series Of Texts & Studies ,Edited by,J.C.Chatterji,Advaita,,Sanskrit & English,3,134,"The Archeological & Research Depatt., Kashmir State.",1911,ADV- JCC,,1183,,
Kashmir Series Of Texts & Studies ,"Edited by Abhinava Gupta, Edited by",J.C.Chatterji,Advaita,,Sanskrit & English,3,56,"Sir Pratap Singh Sahib Bahadur, The Research Departt, J& K State.",1916,ADV- JCC,,1184,,
Kashmir Series Of Texts & Studies ,Edited by,J.C.Chatterji,Advaita,,Sanskrit & English,3,172,"Sir Pratap Singh Bahadu, The Research Departt, J& K State.",1913,ADV- JCC,,1185,,
Kashmir Series of Texts & Studies No-X,The Stava-Chintamani- Commentary- Kshemaraja,Edited by Pt. Mukunda Rama Sastri,Advaita,,Sanskrit,3,131,"Sir Pratap Singhji Saheb Bahadur, J &K",1918,ADV- MRS,,1186,,
Kashmir Series of Texts & Studies Series No-LXVI- The Vamakesvarimatam,With Commentary of -Rajanaka Jayaratha & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit,3,248,"Sri Maharaja Harisinghji Bahadur, J&K State.",1945,ADV-,,1187,,
Kashmir Series Of Texts & Studies Series No-LXVII-The Ghatakarpara Kavya Of Kalidasa ,With Commentary of Abhinava Gupta & Edited by ,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit ,3,248,"Sri Maharaja Harisinghji Bahadur, J&K State.",1945,ADV-,,1188,,
Kashmir Series-Gandharvatantram,Edited by,Ram Chandra Kak & Hara Bhatta Sastri,Advaita,,Sanskrit & English,3,175,"Sri Maharaja Harsinghji Bahadur, J&K State.",1934,ADV- RCK,,1189,,
Kashmir Shaivism- Part 1,Shaivism,"Jagadish Chandra Chatterji, Vidyavardhini",Advaita,,English,F7,1092,"The Research Department, Srinagar, Kashmir",1914,ADV-JD,,1190,,
Kavyalahari,Upanyasa Manjari,Prof. Divakarla venkatavadhani,Advaita,,Telugu,C1,3963,"Yuva Bharathi Publishers, Hyderabad",1971,ADV- DV,,1191,,
Kingdom of Shiva,Maha Grantha,Siv-Kishan,Advaita,,English,8,3191,"Laxmi Narayan, Hyderabad",2015,ADV-SKN,,1192,,
Kulachudamani Nigama,"Edited by Abhinava Gupta, Edited by",Arthur Avalon,Advaita,,Sanskrit & English,3,NA,"Ganesh & Co., Publishers, Madras",1956,ADV-,,1193,,
Lalleshwari- Vakhyani,NIL,Sri Rajanaka Bhaskaracharya,Advaita,,Sanskrit,3,248,P.Vishi Nath & Others,NA,ADV-  RBCh,,1194,,
Madhura Bhasanamulu,Nil,Sadhguru sri Nannagaru,Advaita,,Telugu,RRB1,NIL,NIL,NIL,ADV-,,1195,,
Maha Kavya Vivekamu,Sri Vedanta Pancha Dashi,Mantri Lakshminarayana Sastri,Advaita,,Telugu,5,NA,"Kolambika Publishers, Madras",1896,ADV-,,1196,,
Maha Vakhya Darpanam,Aodratikatatparyashitam,Vavilala Ramaswami Sastri,Advaita,,Telugu,8,706,"The "" Vavilla Press"", Madras",1947,ADV- VRS,,1197,,
Mantrasastra,Lalita-Sahasranaman,R. Ananthakrishna Sastry,Advaita,,English,5,365,"The Theosophical Publishing House, Adyar, Madras, India",1951,ADV-RAS,,1198,,
Moksha Pathamu,About Moksham,Mallimadugula Satyanarayana,Advaita,,Telugu,RRB1,359,NA,1963,ADV-MS,,1199,,
Mokshapradeepam,(The Light to Salvation)By ,Bramhananda Swami Siva Yogi,Advaita,,English,5,548,"Yogini devi, Cannanore, Malabar",1950,ADV-BSS,,1200,,
Mokshasadhana Rahasyamu,Nil,Sri Vidhyaprakashanandhagiri,Advaita,,Telugu,E5,3328,"Sri Parasharya Press, Erpedhu",2005,ADV-SVS,,1201,,
Mumukshu Sann Margam,Vedanta Sarvaswam,M. Annaji Rao Sarma,Advaita,,Telugu,8,1146,"Vijayalakshmi Press, Amalapuram",1991,ADV-MAR,,1202,,
Nahusha Prashnalu,NIL,K.A. Krishnama Charyulu,Advaita,,Telugu,NA(J5),2331,"The World Teachers Trust, Prachurana, Vishakapatnam",1996,ADV-KAK,,1203,,
Namavandanam,Guruvandanam,Sri Goswami Tulasi Das,Advaita,,Telugu,8,680,"Sadhana Grantha Mandali, Tenali",1971,ADV-GT,,1204,,
Narada Bhakti Sutramu,NA,Dodda Venkata Ram Reddy,Advaita,,Telugu,A5,109,"Sri Ramakrishna Mutt, Chennai",1983,ADV- DVRR,,1205,,
Narada Bhakti Sutramu,NA,Dodda Venkata Ram Reddy,Advaita,,Telugu,A5,2091,"Sri Ramakrishna Mutt, Chennai",1987,ADV- DVRR,,1206,,
Narada's Way of Divine Love,,Swami Prabhavananda,Advaita,,English,,2317,"Sri Ramakrishna Mutt, Chennai",1999,ADV-  SwP,,1207,,
Naradiya Maha Puranaatragata,Hari Bhakti Sudodayamu,Dr. Samudrala Venkata Rang Ramaanujcharyulu,Advaita,,Telugu,A5,2520,"Sri Laxmi Ganapathi Bining Works, Kovvur",1991,ADV- SVRR,,1208,,
Nayamanjari -The Journal of the Appayya Dikshitar ,,Srimad Appaya Dikshita,Advaita,,Sanskrit,3,165,"Sri Sankara Gurukulam, SriRangam",1939,ADV- AD,,1209,,
Nee-Loni- Daivatvam Sprurinche Tejasuni Vidavaku,Amrutha sukthulu,Bhagawad Padharenuvu,Advaita,,Telugu,RRB1,4202,"Madhav Villa, Office Nagar, Hyderabad",2015,ADV- SwO,,1210,,
Nirvikalpa Samadhi,Atmarama Nirupanam,Sri Nagendra Saraswathiu Turyatita Swami,Advaita,,Telugu,NA(J3),682,"Swayam Prakasa Vilasashramam, Secunderabad",1939,ADV- NSSw,,1211,,
Nityotsava by-Umanandanatha,(Supplement To Parasurama -Kalpa-Sutra) & Edited by,A. Mahadev Sastri &Others,Advaita,,Sanskrit,3,116,"Oriental Institute, Baroda",1930,ADV- AMS,,1212,,
"Om Karamu, Sivapanchakshari",NA,Sri Malayala Swami,Advaita,,Telugu,A5,13,NA,NA,ADV- MSw,,1213,,
Pancadasi,Of Sri Vidyaranya Swami,Swami Swananda,Advaita,,English,5,2748,"Sri Ramakrishna Matt, Mylapore, Madras",1975,ADV-SS,,1214,,
Pancha Dasi ,Vidyaranya Swami,Swahananda Swami,Advaita,,English,6,3398,"Ramakrishna Matt, Mylapore,  Madras",NA,ADV- SSw,,1215,81-7120-507-0,
Panchadasi Dhyanadeepamu,NA,Vidyanandagiri Swamulu vaaru,Advaita,,Telugu,A5,619,"Gaurimandiram, Vyasharam post.",1988,ADV- VSw,,1216,,
Param Puroshattatvamu,NA,Dwibhasham Venkata Surya Narayanrao,Advaita,,Telugu,A5,966,"Venkateshwara Printing Press, Almuru",1985,ADV-DVSN,,1217,,
Parama Sadhana,Advaita ,Bulusu Surya Prakash Sastry,Advaita,,Telugu,E1,1355,"Sadhana Grantha Mandali, Tenali",1948,ADV-BS,,1218,,
Paripurnitha ku Tivraa Prayathnamu,NIL,Sri. N. S. V Rao ,Advaita,,Telugu,NA,1946,Sri Swami Krishnanada Saraswathi ,1996,ADV- NSVR,,1219,,
Pearls of Wisdom Sublime,,Swami Shantananda Puri,Advaita,,English,,2370,Parvathamma C.P.Subbaraju Setty ,2007,ADV- SwSP,,1220,,
Prabhodha Sudhakaramu,NIL,Peri Subramaniya Sastri,Advaita,,Telugu,5,391,"Manja Paranj Publishers, Kakinada",1933,ADV-PS,,1221,,
Prabhodhacandrodaya of Krishna Misra,Advaita,Dr. Sita Krishna Nambiar,Advaita,,English,F3,2798,Motilal BanarasiDass,1971,ADV-SKN,,1222,,
Prabhodhasudhakaramu,Sri Sringeri 33rd Jagadguru  Sachhinanda Sivabhinava,Ramananda Bharati and M Subbarao,Advaita,,Telugu,A5,321,"Sri Sitarama adishankar Trust, Hyderabad",1989,ADV- RBMS,,1223,,
Prashnotara Ratnamalika,NA,Adishankarulu,Advaita,,Telugu,8,1534,NA,2001,ADV-ADI,,1224,,
Prashnotara Ratnamalika,Advitham,Na,Advaita,,Telugu,8,1535,Hyderabad,2001,ADV-NA,,1225,,
Prashnottara Maalika,NIL,Shri Shankaracharya ,Advaita,,Telugu,I2,NIL,"Sivakameshwari Granthalaya, Vijayawada",NA,ADV- ADI ,,1226,,
Prasthana Traya Parijathamu,Bhagawath Geeta Sara Sangrahamu,YellamRaju Srinivasurao,Advaita,,Telugu,A8,550,"Sri Maha Lakshmi Book Enterprises, Vijayawada",1994,ADV- YSR,,1227,,
Prasthana Trayamu,Bala Bodani- (Upanishad-Bhagawat Gita- Bramhasutrulu,Acharya Appala Someshwara Rao,Advaita,,Telugu,NA(G6),4282,"Acharya Appala Someshwara Rao, Vishakapatnam",2005,ADV-PSC,,1228,,
Prasthana Trayamu,Upanishadulu-Bhagawatgeeta-Bramhasutralu,Hari Tirtha Swami,Advaita,,Telugu,NA(J2),NIL,"Acharya Appala Someshwara Sarma,Vishakapatnam",2005,ADV- HTSw,,1229,,
Prema Darshanamu,Narada Bhakti Sutramu,Peddapalli Ramachandra Reddy,Advaita,,Telugu,A5,2067,"Jeeyar educational Trust, Hyd",1989,ADV- PRR,,1230,,
Raasa Krida Rahasyam,NIL,Badami Jaya Ram Gupta,Advaita,,Telugu,NA(J5),928,"R.K.Printers & Graphics, Hyderabad",2000,ADV-BJ,,1231,,
Rahasya Bharatamlo -Na Adyatmik Anveshana,Dr. Paul Brunton,Jonnalagadda Patanjali,Advaita,,Telugu,I7,3413,"Emesco Books, Hyderabad",2013,ADV-JP,,1232,,
Rudram & Chamakam,With Swara,NA,Advaita,,Sanskrit,5,378,NA,NA,ADV- NA,,1233,,
Sadachara Dipika,Vidyaranya Virachti,Simhanbatu Ramamurti Sastulu,Advaita,,Telugu,NA,2836,"Buvanavijaya pablikeshans,Vijayavada",1991,ADV-SR,,1234,,
Saivism,"Religion, History and Thought",K.Thimma Reddy,Advaita,,English,7,2119,"Telugu University, Hyderabad",2000,ADV-KTR,,1235,,
Sankara's Atma Bodha,Hymns,Swami Sundara Chaitanyananda,Advaita,,English,,3399,Sundara Chaitanya Ashram,1995,ADV- ADI,,1236,,
Saptayati Darshanamu,NIL,T. Chakradar Rao,Advaita,,Telugu,NA(I5),3699,"Bharadwaja Publications,Hyderabad",2013,ADV-TC,,1237,,
Sasanka Vijayamu,NIL,"Sheshamu, Venkatapathy",Advaita,,Telugu,D4,672,"The Vavilla Press, Madras",1918,ADV- SV,,1238,,
Saundarya Lahari,Of Sri Sankara Charya,Pt. N.N. Ganapathi Swamy,Advaita,,Sanskrit,3,176,"Pt.S. Narayana Sastry,Mysore",1953,ADV-,,1239,,
Saundarya Lahari,The Waves of Blisss & Beauty,Sri Sankaracharya,Advaita,,Sanskrit,3,201,"A. Kuppuswamy, Tirchy",1976,ADV- ADI,,1240,,
Select Works of Sri Sankaracharya,,S.Venkataraman,Advaita,,English,,3311,"Pilgrims Publishing, Varanasi",2005,ADV-ADI,,1241,,
Self Knowledge,,Swami Nikhilananda,Advaita,,English,,3346,"Sri Ramakrishna Math, Madras",2008,ADV-SWN,,1242,,
Self Knowledge - Atma Bodha,Devotional literature,Swami Nikhilananda,Advaita,,English,F4,2220,"Sri Ramakrishna Mutt, Madras",1994,ADV-SwN,,1243,,
Self The Truth Absolute,Review of Advaita Vedanta,G.Subramanian,Advaita,,English,F1,2552,"Giri Trading Agency, Madras",1995,ADV- GS,,1244,,
Shanakara Grantha Ratnavali,"Vakhyavrotti, Hasthamalkiya,Part-14 etc.",Sri Kuppa Lakshma vadani,Advaita,,Telugu,D6,3379,"Sadhana Grantha Mandali, Tenali",1990,ADV-ADI,,1245,,
Shandilya Vishishta Sarassu Dharma Sastramu,NIL,Jandyala Subramaniya Sastrulu,Advaita,,Telugu,5,256,"Sriniketan Publishers, Madras",NA,ADV-JS,,1246,,
Shankar Chaitanya-10,"Dwadasha Jyotirlingamulu, Sri Shiva Bhujanga Stotram",Swamy Sundara Chaitanya,Advaita,,Telugu,D3,3815,"Sundara Chaitanya Ashramam, Dhawaleshwaram",1995,ADV- ADI,,1247,,
Shankara Grandha Ratnavalli,Advaitanbhuti,Sri Shankaracharya,Advaita,,Telugu,A5,394,Kattamanchi Ramalinga Reddy,1950,ADV-ADI,,1248,,
Shankara Grandha Ratnavalli,Prathama Samputamu,Sri Nirvikalpa Nandaswamy,Advaita,,Telugu,A5,1592,"Sadhana Grandha Mandali, Tenali",1954,ADV- ADI,,1249,,
Shankara Grantha Ratnavali,Part-3,Sri Hari Sambasiva Sastry,Advaita,,Telugu,D6,5,"Sadhana Grantha Mandali, Tenali",NIL,ADV- ADI,,1250,,
Shankara Grantha Ratnavali,"Upadesha- sahasri, Part-3",Sri Hari Sambasiva Sastry,Advaita,,Telugu,D6,3380,"Sadhana Grantha Mandali, Tenali",1988,ADV- ADI,,1251,,
Shankara Grantha Ratnavali,"Shri Soundarya Lahari,Part-5",Eshwara Satyanarayana Sarma,Advaita,,Telugu,D6,4317,"Sadhana Grantha Mandali, Tenali",NIL,ADV- ADI,,1252,,
Shankara Grantha Ratnavali,"Upadesha-Sahasri, Part-13.",Sri Hari Sambasiva Sastry,Advaita,,Telugu,D6,4267,"Sadhana Grantha Mandali, Tenali",1988,ADV- ADI,,1253,,
Shankara Grantha Ratnavali,"Sastusu Jatiya Bhashyamu,Part-15",Sri Janaswamy Bramhana Sastry,Advaita,,Telugu,D6,4264,"Sadhana Grantha Mandali, Tenali",1999,ADV- ADI,,1254,,
Shankara Grantha Ratnavali,"Vakhyavruti, Hasthamalkiya,etc. Part -14",Sri Kuppa Lakshma vadani,Advaita,,Telugu,D6,4263,"Sadhana Grantha Mandali, Tenali",1990,ADV- ADI,,1255,,
Shankara Grantha Ratnavali,"Vakhyavruti, Hasthamalkiya,etc. Part -14",Sri Kuppa Lakshma vadani,Advaita,,Telugu,D6,3462,"Sadhana Grantha Mandali, Tenali",1990,ADV- ADI,,1256,,
Shankara Grantha Ratnavali,"Viveka Chudamani, Part-6",Sri Memuri Sitarama Sastry,Advaita,,Telugu,D6,4250,"Sadhana Grantha Mandali, Tenali",1981,ADV-ADI,,1257,,
Shankara Grantha Ratnavali,"Part-11, Stotramulu- Chaturthamu",Tadepalli Raghava Narayana Sastry,Advaita,,Telugu,D6,4250,"Sadhana Grantha Mandali, Tenali",1984,ADV-ADI,,1258,,
Shankara Grantha Ratnavali,"Part-9, Stotramulu- Dwithiyamu",Tadepalli Raghava Narayana Sastry,Advaita,,Telugu,D6,4261,"Sadhana Grantha Mandali, Tenali",1983,ADV-,,1259,,
Shankara Grantha Ratnavali,"Part-3, Aparnokshaanubhuti, Prabhoda-Sudakaramu, etc",Sri Hari Sambasiva Sastry,Advaita,,Telugu,D6,4259,"Sadhana Grantha Mandali, Tenali",NIL,ADV- ADI,,1260,,
Shankara Grantha Ratnavali,"Sri Lalita -trishathi- Bhashyam, Part-12",Tadepalli Raghava Narayana Sastry,Advaita,,Telugu,D6,4250(2),"Sadhana Grantha Mandali, Tenali",1988,ADV-,,1261,,
Shankara Grantha Ratnavali,"Upadesha-Sahasri, Part-13.",Sri Hari Sambasiva Sastry,Advaita,,Telugu,D6,3461,"Sadhana Grantha Mandali, Tenali",1988,ADV-ADI,,1262,,
Shankara Grantha Ratnavali,"Atmagyanopadeshvidi, Mayavevaranamu,etc.",Sri Velluri Sivarama Sastry,Advaita,,Telugu,D6,3460,"Sadhana Grantha Mandali, Tenali",1997,ADV- ADI,,1263,,
Shankara Grantha Ratnavali,"Vakhyavrotti, Hasthamalkiya, etc.",Sri Kuppa Lakshma vadani,Advaita,,Telugu,D6,2278,"Sadhana Grantha Mandali, Tenali",1990,ADV- ADI,,1264,,
Shankara Grantha Ratnavali,"Viveka Chudamani, Part-6",Sri Vemuri Sitarama Sastry,Advaita,,Telugu,D6,2277,"Sadhana Grantha Mandali, Tenali",1969,ADV- ADI,,1265,,
Shankara Grantha Ratnavali,"Vyakhya Vruthi, Hastamalikya, etc.Part-14",K. Lakshmi Vadavi,Advaita,,Telugu,E4,2704,"Sadhana Grantha Mandali, Tenali",1990,ADV- ADI,,1266,,
Shankara Vijayam,Savyakyanam,Sri Madacharya,Advaita,,Telugu,8,371,"The ""Vavilla Press"", Madras",1941,ADV- ADI,,1267,,
Shiva Bhakti Vijayam,Divotion,NA,Advaita,,Telugu,7,191,NA,2001,ADV-NA,,1268,,
Shiva Rahasya Kandam,Mudigonds Bramha Lingar,J. Sanjivaiah,Advaita,,Telugu,6,502,"Shishleka Press, Vijayawada",1896,ADV- JS,,1269,,
Shivananda Lahari,NIL,K. Sadanand,Advaita,,Telugu,3,3664,"Kranthi Press, Madras",1983,ADV- KS,,1270,,
Shivananda Lahari,NIL,Dr. G.L.N. Sastry,Advaita,,Telugu,NA(J2),3718,"The World Teacher Trust, Guntur",2008,ADV- GLNS,,1271,,
Shivananda lahari,Palavajgala Sriramashrma,Advitam,Advaita,,Telugu,NA J-3,2283,"sribramarambikamalikarjuna,sriselam",1975,ADV-ADI,,1272,,
Shivananda Lahari,Shankaracharyulakruti,Savyakyanandratikatatparyam,Advaita,,Telugu,RRB2,1153,Vavilla Ramaswamishari&son,1950,ADV-ADI,,1273,,
"Shivanandalahara,Sundaryalahari",Vivekachudamani,Vavilla Ramaswamy Sastri,Advaita,,Telugu,NAJ-3,752,Vavilla Ramaswami Shtrilu Son,1937,ADV- VRS,,1274,,
Shri Shankara Bhagawatapada Virachitamu,"Shivananda Lahari, Vivekachudamani, Dakshinia murthy Stotram,etc",P. Hanumaajanki Sharma,Advaita,,Telugu,D3,1199,"President V.S. Ramanan, T.V.Malai",1981,ADV- ADI,,1275,,
Shri Shankara Bharathi,Vyakhyana Kadambam,V.S.R.Murthy,Advaita,,Telugu,D6,3967,"V.S.R. Murthy, Hyderabad",2012,ADV- ADI,,1276,,
Shudra Kamalakaramu,Anu Shudhra Dharma Tattvamu,Sri Madananda Gajapati Maharajulu,Advaita,,Telugu,5,938,"Saradamba Vilas Publishers, Madras",1912,ADV-MGM,,1277,,
Sivadvaita Nirnaya,"An Inquiry Into The System Of Srikantha, By",Appayya Diksita,Advaita,,English,5,1627,"University of Madras, Madras",1929,ADV-AD,,1278,,
Soundarya Lahari,Tika Tattparyamu,Malladi Lakshmi Narasimha Sastry,Advaita,,Telugu,3,910,"Kondapally Veer Venkaiah & OThers, Rajamundry, A.P.",1957,ADV- ADI,,1279,,
Soundarya Lahari,(The Ocean of Beauty),Pt. S. Subrahmanya Sastri & Others,Advaita,,English,5,473,"The Theosophical Publishing House, Adyar, Madras, India",1948,ADV- ADI,,1280,,
Soundarya Lahari,NIL,Shankara Bhagawat ,Advaita,,Sanskrit,NA,176,NA,NA,ADV- ADI,,1281,,
